date,1x_unhedged,1x_aud_puts,1x_jpy_calls,1x_dual_hedge,3x_unhedged,3x_aud_puts,3x_jpy_calls,3x_dual_hedge,5x_unhedged,5x_aud_puts,5x_jpy_calls,5x_dual_hedge,audjpy
2022-10-10,186.3551905078543,582.0196920825413,157.722935131681,317.3810936210001,361.0981456837871,5567.9997041034585,199.37952956510605,1386.1600162967834,318.8728508837194,14686.33080250879,104.42623433506446,2183.28253177031,91.1871023713129
2022-10-11,185.75977070079827,580.1600924018552,157.21899768111422,316.36703552574636,357.63693291618887,5514.629084796256,197.468428714611,1372.8733384124223,313.7787289858755,14451.710767806238,102.7579832890398,2148.403716206526,90.89065894279508
2022-10-12,187.25021567933842,584.8150114578358,158.48044554326927,318.9054089189525,366.2454411329221,5647.369094060987,202.2215971787123,1405.9191184382423,326.36675946269446,15031.477841805403,106.88038071718769,2234.5923866225385,91.61990818334183
2022-10-13,188.52278464264654,588.7894658004273,159.55749261399188,321.0727181749072,373.71254999014747,5762.509147823401,206.3445445517757,1434.5833690275692,337.4568457208301,15542.254080559984,110.51222313706954,2310.5248203060914,92.24018137936079
2022-10-14,187.55709532994632,585.7734500141564,158.74017514400728,319.42805494160706,367.96963329870056,5673.955498847676,203.17360600789578,1412.5378348985234,328.81389919243423,15144.185786339778,107.68178348998644,2251.3476463128354,91.75836348866406
2022-10-16,188.05959877064532,587.342855712109,159.1654722197948,320.28386738838003,370.92722879483574,5719.560526301235,204.80663571384088,1423.8912596394862,333.2186943137061,15347.057489242658,109.12429001337694,2281.50672764462,91.99940955052033
2022-10-17,190.79142806911577,595.874834042226,161.4775738256544,324.9364395435833,387.09194271286344,5968.8144296743985,213.7319461732116,1485.9433094100982,357.4210375568829,16461.745108712566,117.05020644045861,2447.2171450862284,93.33431974550567
2022-10-18,191.68428352622135,598.6633770219124,162.23324788527816,326.4570596059995,392.5264188360923,6052.612039293234,216.7325799505753,1506.804821997693,365.78423623663167,16846.929052837946,119.78903272404403,2504.478920545057,93.7671385162677
2022-10-19,190.91200442697192,596.2514149921884,161.57962441526627,325.14179285956516,387.78205570531634,5979.455716492693,214.1129905109538,1488.592470166805,358.41567384633476,16507.555084490017,117.37593540092861,2454.027295370917,93.38295496836619
2022-10-20,191.71117551013273,598.7473653677854,162.25600809186247,326.5028592815555,392.6519046142711,6054.546983529642,216.80186664096527,1507.2865286206827,365.91743999114414,16853.064019792597,119.8326550219113,2505.390949993746,93.7700514810117
2022-10-21,191.867044505682,599.2341713673799,162.38792883636688,326.76831940710514,393.609630596753,6069.314763566212,217.3306728896873,1510.9629846738453,367.40496891776024,16921.57515780275,120.31979917306904,2515.5758745239573,93.8403935100213
